battleTime,event_id,event_mode,event_map,battle_mode,battle_type,battle_rank,battle_trophyChange,battle_result,battle_duration,battle_starPlayer_tag,battle_starPlayer_name,battle_starPlayer_brawler_id,battle_starPlayer_brawler_name,battle_starPlayer_brawler_power,battle_starPlayer_brawler_trophies,player_tag,brawler_id_used
20250411T054851.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,8.0,victory,30.0,#2J2L0PQ9G0,쏫퇬춌,16000043.0,EDGAR,4.0,8.0,#GYVL22U2V,16000092.0
20250411T054744.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,-1.0,defeat,158.0,#2R2LCQ99JV,かな,16000045.0,STU,6.0,151.0,#GYVL22U2V,16000092.0
20250411T054307.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,8.0,victory,75.0,#2QQ2LJJJCP,ㅡㅡㄴㄷㅎ늣ㄴㅂㄷㄴㅅㄷㄴ몽ㄴ,16000038.0,SURGE,8.0,34.0,#GYVL22U2V,16000092.0
20250411T053916.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,-1.0,defeat,98.0,#2YLGJQY0PL,オレンジ,16000003.0,BROCK,9.0,163.0,#GYVL22U2V,16000092.0
20250411T053628.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,9.0,victory,96.0,#29CV0JVVQ2,Ã§|ÉŁ PŘÎMØ,16000015.0,PIPER,11.0,128.0,#GYVL22U2V,16000092.0
20220813T154615.000Z,15000102,duoShowdown,Dark Passage,duoShowdown,ranked,5.0,-1.0,,,,,,,,,#LGLJCPVYG,16000019.0
20220723T143311.000Z,15000160,brawlBall,Field Goal,brawlBall,ranked,,8.0,victory,152.0,#LGLJCPVYG,ewok,16000019.0,PENNY,1.0,90.0,#LGLJCPVYG,16000019.0
20220712T125046.000Z,15000461,duels,Shrouding Serpent,duels,ranked,,,victory,118.0,,,,,,,#LGLJCPVYG,
20220712T124822.000Z,15000461,duels,Shrouding Serpent,duels,ranked,,,defeat,49.0,,,,,,,#LGLJCPVYG,
20220712T124639.000Z,15000538,hunters,Trials and Tribulations,hunters,ranked,7.0,2.0,,,,,,,,,#LGLJCPVYG,16000019.0
20220710T072513.000Z,15000554,bounty,Side by Side,bounty,ranked,,8.0,victory,120.0,#28PUY9CC8,회색관두루미,16000037.0,SPROUT,6.0,158.0,#LGLJCPVYG,16000004.0
20220710T072247.000Z,15000555,hotZone,Trident,hotZone,ranked,,-3.0,defeat,87.0,#YY8J08JPV,いっちー,16000004.0,RICO,3.0,314.0,#LGLJCPVYG,16000004.0
20220710T072036.000Z,15000324,bigGame,Lit Match,bigGame,,,,,1.0,,,,,,,#LGLJCPVYG,16000004.0
20220708T122525.000Z,15000548,knockout,Out in the Open,knockout,championshipChallenge,,1.0,victory,78.0,#P8LUUCPL8,XI|⚡Oofy🌪️,16000003.0,BROCK,11.0,1.0,#LGLJCPVYG,16000004.0
